-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 2.499 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 2.125 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.822 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.520 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.240 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.071 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.988 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.936 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.898 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.868 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.842 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.816 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.795 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.771 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.750 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.727 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.708 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.687 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.669 , MEAN : 0.000 , STD : 1.000
