-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 120675.866 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 102863.398 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 89591.362 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 78170.275 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 67073.592 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 57182.732 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 50272.789 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 46345.589 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 44044.127 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 42121.269 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 40521.499 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 39286.161 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 38149.040 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 36876.859 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 35817.895 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 34745.555 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 33868.227 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 32906.226 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 31905.687 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 31028.087 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 30170.510 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 29214.723 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 28457.539 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 27584.533 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  25 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 26702.009 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  26 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 25908.796 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  27 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 25200.069 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  28 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 24448.214 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  29 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 23711.861 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  30 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 22948.970 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  31 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 22282.169 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  32 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 21762.801 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  33 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 20970.489 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 20511.159 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 19893.892 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 19375.632 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 18882.174 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 18328.887 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 17889.889 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 17506.902 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 17127.519 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 16675.293 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 16356.466 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 15860.043 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 15552.502 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 15186.636 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 14859.798 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 14585.963 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 14247.252 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 13942.400 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 13683.520 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 13390.386 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 13101.920 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 12835.341 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 12611.271 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 12247.833 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 12019.478 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  58 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 11745.901 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  59 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 11529.588 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  60 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 11309.247 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  61 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 11043.183 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  62 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 10816.378 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  63 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 10605.251 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  64 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 10412.523 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  65 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 10184.856 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  66 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 9987.853 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  67 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 9770.203 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  68 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 9581.368 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  69 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 9385.653 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  70 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 9163.591 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  71 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 9007.256 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  72 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 8816.058 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  73 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 8656.463 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  74 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 8438.997 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  75 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 8279.731 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  76 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 8149.560 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  77 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 8000.152 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  78 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 7819.841 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  79 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 7694.101 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  80 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 7522.734 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  81 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 7371.961 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  82 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 7271.814 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  83 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 7129.168 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  84 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 7003.272 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  85 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6908.728 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  86 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6714.826 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  87 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6612.652 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  88 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6481.114 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  89 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6392.414 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  90 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 6270.351 , MEAN : 0.000 , STD : 1.000
