-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 134.602 , KL LOSS : 134.512 , TOTAL LOSS : 134.602 , MEAN : -0.000 , STD : 1.497
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 99.527 , KL LOSS : 1936.269 , TOTAL LOSS : 99.527 , MEAN : -0.000 , STD : 1.506
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 76.229 , KL LOSS : 29366.650 , TOTAL LOSS : 76.229 , MEAN : -0.000 , STD : 1.509
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 69.827 , KL LOSS : 112221.662 , TOTAL LOSS : 69.827 , MEAN : -0.000 , STD : 1.509
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 67.559 , KL LOSS : 173423.462 , TOTAL LOSS : 67.559 , MEAN : 0.000 , STD : 1.509
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 66.053 , KL LOSS : 216115.342 , TOTAL LOSS : 66.053 , MEAN : 0.000 , STD : 1.508
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 64.628 , KL LOSS : 223494.069 , TOTAL LOSS : 64.628 , MEAN : 0.000 , STD : 1.508
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 63.087 , KL LOSS : 223639.740 , TOTAL LOSS : 63.087 , MEAN : 0.000 , STD : 1.507
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 61.513 , KL LOSS : 234740.906 , TOTAL LOSS : 61.513 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 59.775 , KL LOSS : 249616.361 , TOTAL LOSS : 59.775 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 57.870 , KL LOSS : 289430.307 , TOTAL LOSS : 57.870 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 55.771 , KL LOSS : 303867.491 , TOTAL LOSS : 55.771 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 53.566 , KL LOSS : 278286.543 , TOTAL LOSS : 53.566 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 51.159 , KL LOSS : 270991.099 , TOTAL LOSS : 51.159 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 48.743 , KL LOSS : 344187.722 , TOTAL LOSS : 48.743 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 46.194 , KL LOSS : 322895.036 , TOTAL LOSS : 46.194 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43.652 , KL LOSS : 345366.974 , TOTAL LOSS : 43.652 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  18 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41.309 , KL LOSS : 355964.602 , TOTAL LOSS : 41.309 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  19 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38.747 , KL LOSS : 303857.637 , TOTAL LOSS : 38.747 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  20 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36.331 , KL LOSS : 279106.958 , TOTAL LOSS : 36.331 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  21 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33.976 , KL LOSS : 352987.977 , TOTAL LOSS : 33.976 , MEAN : 0.000 , STD : 1.506
-> EPOCH :  22 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31.923 , KL LOSS : 411462.703 , TOTAL LOSS : 31.923 , MEAN : 0.000 , STD : 1.506
-> EPOCH :  23 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 29.799 , KL LOSS : 344754.338 , TOTAL LOSS : 29.799 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  24 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 27.976 , KL LOSS : 417424.229 , TOTAL LOSS : 27.976 , MEAN : 0.000 , STD : 1.508
-> EPOCH :  25 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 26.404 , KL LOSS : 957657.353 , TOTAL LOSS : 26.404 , MEAN : -0.000 , STD : 1.507
