-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 2.699 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 2.334 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 2.052 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.788 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.534 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.310 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.154 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 1.052 , MEAN : 0.000 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.986 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.935 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.896 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.862 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.835 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.808 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.781 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.757 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.736 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.717 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.696 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.675 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.655 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.634 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.619 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.601 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  25 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.584 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  26 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.563 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  27 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.548 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  28 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.532 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  29 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.520 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  30 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.501 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  31 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.489 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  32 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.477 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  33 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.464 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.451 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.438 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.427 , MEAN : 0.000 , STD : 1.000
