-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 130.332 , KL LOSS : 122.112 , TOTAL LOSS : 130.332 , MEAN : -0.000 , STD : 1.492
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 90.404 , KL LOSS : 132.947 , TOTAL LOSS : 90.404 , MEAN : -0.000 , STD : 1.493
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 72.824 , KL LOSS : 150.756 , TOTAL LOSS : 72.824 , MEAN : -0.000 , STD : 1.494
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 68.660 , KL LOSS : 153.644 , TOTAL LOSS : 68.660 , MEAN : -0.001 , STD : 1.494
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 66.799 , KL LOSS : 152.382 , TOTAL LOSS : 66.799 , MEAN : -0.001 , STD : 1.493
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 65.353 , KL LOSS : 152.988 , TOTAL LOSS : 65.353 , MEAN : -0.001 , STD : 1.492
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 63.860 , KL LOSS : 152.502 , TOTAL LOSS : 63.860 , MEAN : -0.001 , STD : 1.492
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 62.266 , KL LOSS : 150.356 , TOTAL LOSS : 62.266 , MEAN : -0.001 , STD : 1.492
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 60.571 , KL LOSS : 148.530 , TOTAL LOSS : 60.571 , MEAN : -0.001 , STD : 1.491
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 58.686 , KL LOSS : 147.173 , TOTAL LOSS : 58.686 , MEAN : -0.001 , STD : 1.491
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 56.611 , KL LOSS : 145.877 , TOTAL LOSS : 56.611 , MEAN : -0.001 , STD : 1.491
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 54.335 , KL LOSS : 144.707 , TOTAL LOSS : 54.335 , MEAN : -0.001 , STD : 1.491
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 51.926 , KL LOSS : 143.772 , TOTAL LOSS : 51.926 , MEAN : -0.001 , STD : 1.491
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 49.401 , KL LOSS : 142.723 , TOTAL LOSS : 49.401 , MEAN : -0.001 , STD : 1.491
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 46.811 , KL LOSS : 142.115 , TOTAL LOSS : 46.811 , MEAN : -0.001 , STD : 1.491
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 44.212 , KL LOSS : 141.283 , TOTAL LOSS : 44.212 , MEAN : -0.001 , STD : 1.490
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41.635 , KL LOSS : 140.934 , TOTAL LOSS : 41.635 , MEAN : -0.001 , STD : 1.490
