-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 303950.083 , KL LOSS : 185.350 , TOTAL LOSS : 303950.083 , MEAN : -0.000 , STD : 1.499
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 201080.646 , KL LOSS : 1967.097 , TOTAL LOSS : 201080.646 , MEAN : -0.000 , STD : 1.497
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 172389.659 , KL LOSS : 13021.235 , TOTAL LOSS : 172389.659 , MEAN : -0.000 , STD : 1.497
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 165853.770 , KL LOSS : 22545.548 , TOTAL LOSS : 165853.770 , MEAN : -0.000 , STD : 1.496
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 162139.912 , KL LOSS : 24449.818 , TOTAL LOSS : 162139.912 , MEAN : -0.000 , STD : 1.495
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 158602.730 , KL LOSS : 27274.699 , TOTAL LOSS : 158602.730 , MEAN : -0.000 , STD : 1.495
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 155108.372 , KL LOSS : 27989.017 , TOTAL LOSS : 155108.372 , MEAN : -0.000 , STD : 1.495
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 151501.318 , KL LOSS : 32099.134 , TOTAL LOSS : 151501.318 , MEAN : -0.000 , STD : 1.494
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 147487.521 , KL LOSS : 54837.451 , TOTAL LOSS : 147487.521 , MEAN : -0.000 , STD : 1.494
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 143150.355 , KL LOSS : 80587.623 , TOTAL LOSS : 143150.355 , MEAN : -0.000 , STD : 1.493
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 138264.551 , KL LOSS : 106074.242 , TOTAL LOSS : 138264.551 , MEAN : -0.000 , STD : 1.492
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 133018.077 , KL LOSS : 116659.665 , TOTAL LOSS : 133018.077 , MEAN : -0.000 , STD : 1.492
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 127337.207 , KL LOSS : 122801.846 , TOTAL LOSS : 127337.207 , MEAN : -0.000 , STD : 1.492
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 121269.920 , KL LOSS : 129284.496 , TOTAL LOSS : 121269.920 , MEAN : -0.000 , STD : 1.492
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 114995.418 , KL LOSS : 145133.706 , TOTAL LOSS : 114995.418 , MEAN : -0.000 , STD : 1.491
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 108505.916 , KL LOSS : 153963.034 , TOTAL LOSS : 108505.916 , MEAN : 0.000 , STD : 1.491
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 101985.316 , KL LOSS : 176942.484 , TOTAL LOSS : 101985.316 , MEAN : 0.000 , STD : 1.491
-> EPOCH :  18 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 95404.283 , KL LOSS : 205884.260 , TOTAL LOSS : 95404.283 , MEAN : 0.000 , STD : 1.491
-> EPOCH :  19 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 88781.441 , KL LOSS : 236470.898 , TOTAL LOSS : 88781.441 , MEAN : 0.000 , STD : 1.490
-> EPOCH :  20 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 82122.457 , KL LOSS : 222867.826 , TOTAL LOSS : 82122.457 , MEAN : 0.000 , STD : 1.490
