-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 251430.664 , KL LOSS : 162.242 , TOTAL LOSS : 251430.664 , MEAN : -0.000 , STD : 1.469
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 189651.836 , KL LOSS : 162.979 , TOTAL LOSS : 189651.836 , MEAN : -0.000 , STD : 1.469
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 134970.935 , KL LOSS : 162.017 , TOTAL LOSS : 134970.935 , MEAN : 0.000 , STD : 1.469
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 109448.908 , KL LOSS : 161.837 , TOTAL LOSS : 109448.908 , MEAN : -0.000 , STD : 1.469
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 98135.135 , KL LOSS : 162.515 , TOTAL LOSS : 98135.135 , MEAN : -0.000 , STD : 1.469
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 90117.507 , KL LOSS : 163.003 , TOTAL LOSS : 90117.507 , MEAN : -0.000 , STD : 1.469
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 83416.801 , KL LOSS : 162.875 , TOTAL LOSS : 83416.801 , MEAN : -0.000 , STD : 1.469
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 77428.828 , KL LOSS : 162.480 , TOTAL LOSS : 77428.828 , MEAN : -0.000 , STD : 1.469
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 71654.945 , KL LOSS : 161.333 , TOTAL LOSS : 71654.945 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 66395.733 , KL LOSS : 162.543 , TOTAL LOSS : 66395.733 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 61261.387 , KL LOSS : 162.921 , TOTAL LOSS : 61261.387 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 56695.629 , KL LOSS : 162.134 , TOTAL LOSS : 56695.629 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 52538.609 , KL LOSS : 163.511 , TOTAL LOSS : 52538.609 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 49174.040 , KL LOSS : 162.958 , TOTAL LOSS : 49174.040 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 45955.058 , KL LOSS : 163.327 , TOTAL LOSS : 45955.058 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43146.841 , KL LOSS : 161.907 , TOTAL LOSS : 43146.841 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40870.519 , KL LOSS : 161.942 , TOTAL LOSS : 40870.519 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  18 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38946.818 , KL LOSS : 163.887 , TOTAL LOSS : 38946.818 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  19 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36872.471 , KL LOSS : 162.660 , TOTAL LOSS : 36872.471 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  20 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35172.904 , KL LOSS : 163.005 , TOTAL LOSS : 35172.904 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  21 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33569.711 , KL LOSS : 162.868 , TOTAL LOSS : 33569.711 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  22 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32057.130 , KL LOSS : 164.416 , TOTAL LOSS : 32057.130 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  23 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 30754.404 , KL LOSS : 161.678 , TOTAL LOSS : 30754.404 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  24 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 29342.985 , KL LOSS : 161.770 , TOTAL LOSS : 29342.985 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  25 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 28273.133 , KL LOSS : 162.371 , TOTAL LOSS : 28273.133 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  26 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 26953.040 , KL LOSS : 164.235 , TOTAL LOSS : 26953.040 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  27 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 25919.155 , KL LOSS : 162.780 , TOTAL LOSS : 25919.155 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  28 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 24899.572 , KL LOSS : 162.864 , TOTAL LOSS : 24899.572 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  29 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 23808.593 , KL LOSS : 162.068 , TOTAL LOSS : 23808.593 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  30 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 22869.405 , KL LOSS : 162.355 , TOTAL LOSS : 22869.405 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  31 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 22061.592 , KL LOSS : 164.134 , TOTAL LOSS : 22061.592 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  32 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 21268.713 , KL LOSS : 162.896 , TOTAL LOSS : 21268.713 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  33 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 20514.269 , KL LOSS : 163.046 , TOTAL LOSS : 20514.269 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19840.729 , KL LOSS : 163.620 , TOTAL LOSS : 19840.729 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19113.275 , KL LOSS : 162.542 , TOTAL LOSS : 19113.275 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18397.052 , KL LOSS : 162.588 , TOTAL LOSS : 18397.052 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17851.525 , KL LOSS : 163.381 , TOTAL LOSS : 17851.525 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17223.174 , KL LOSS : 163.292 , TOTAL LOSS : 17223.174 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16767.811 , KL LOSS : 162.070 , TOTAL LOSS : 16767.811 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16279.288 , KL LOSS : 161.195 , TOTAL LOSS : 16279.288 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15719.301 , KL LOSS : 161.945 , TOTAL LOSS : 15719.301 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15376.311 , KL LOSS : 163.362 , TOTAL LOSS : 15376.311 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14997.152 , KL LOSS : 161.720 , TOTAL LOSS : 14997.152 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14541.183 , KL LOSS : 163.269 , TOTAL LOSS : 14541.183 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14195.040 , KL LOSS : 162.291 , TOTAL LOSS : 14195.040 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13901.001 , KL LOSS : 161.995 , TOTAL LOSS : 13901.001 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13499.614 , KL LOSS : 162.977 , TOTAL LOSS : 13499.614 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13213.777 , KL LOSS : 162.210 , TOTAL LOSS : 13213.777 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12942.751 , KL LOSS : 162.796 , TOTAL LOSS : 12942.751 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12672.462 , KL LOSS : 161.971 , TOTAL LOSS : 12672.462 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12409.065 , KL LOSS : 163.015 , TOTAL LOSS : 12409.065 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12202.394 , KL LOSS : 163.326 , TOTAL LOSS : 12202.394 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11965.711 , KL LOSS : 161.991 , TOTAL LOSS : 11965.711 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11778.363 , KL LOSS : 162.701 , TOTAL LOSS : 11778.363 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11583.244 , KL LOSS : 162.906 , TOTAL LOSS : 11583.244 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11407.925 , KL LOSS : 162.963 , TOTAL LOSS : 11407.925 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11208.742 , KL LOSS : 163.448 , TOTAL LOSS : 11208.742 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  58 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11068.477 , KL LOSS : 162.213 , TOTAL LOSS : 11068.477 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  59 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10904.783 , KL LOSS : 162.728 , TOTAL LOSS : 10904.783 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  60 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10768.437 , KL LOSS : 162.013 , TOTAL LOSS : 10768.437 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  61 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10625.803 , KL LOSS : 162.413 , TOTAL LOSS : 10625.803 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  62 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10519.418 , KL LOSS : 164.121 , TOTAL LOSS : 10519.418 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  63 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10376.491 , KL LOSS : 163.297 , TOTAL LOSS : 10376.491 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  64 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10252.358 , KL LOSS : 162.637 , TOTAL LOSS : 10252.358 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  65 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10145.409 , KL LOSS : 162.602 , TOTAL LOSS : 10145.409 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  66 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 10034.547 , KL LOSS : 163.147 , TOTAL LOSS : 10034.547 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  67 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 9965.545 , KL LOSS : 162.851 , TOTAL LOSS : 9965.545 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  68 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 9832.408 , KL LOSS : 162.092 , TOTAL LOSS : 9832.408 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  69 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 9796.636 , KL LOSS : 164.022 , TOTAL LOSS : 9796.636 , MEAN : -0.000 , STD : 1.470
-> EPOCH :  70 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 9709.736 , KL LOSS : 163.311 , TOTAL LOSS : 9709.736 , MEAN : -0.000 , STD : 1.469
-> EPOCH :  71 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 9588.083 , KL LOSS : 162.984 , TOTAL LOSS : 9588.083 , MEAN : -0.000 , STD : 1.470
