-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 308402.533 , KL LOSS : 130.176 , TOTAL LOSS : 308402.533 , MEAN : -0.000 , STD : 1.497
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 205921.086 , KL LOSS : 2138.465 , TOTAL LOSS : 205921.086 , MEAN : 0.000 , STD : 1.503
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 173195.773 , KL LOSS : 14317.044 , TOTAL LOSS : 173195.773 , MEAN : 0.000 , STD : 1.505
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 167096.546 , KL LOSS : 24384.598 , TOTAL LOSS : 167096.546 , MEAN : 0.000 , STD : 1.505
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 163114.060 , KL LOSS : 33156.570 , TOTAL LOSS : 163114.060 , MEAN : 0.000 , STD : 1.504
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 159506.752 , KL LOSS : 36559.127 , TOTAL LOSS : 159506.752 , MEAN : 0.000 , STD : 1.504
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 155796.813 , KL LOSS : 41493.785 , TOTAL LOSS : 155796.813 , MEAN : 0.000 , STD : 1.504
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 151800.379 , KL LOSS : 42639.364 , TOTAL LOSS : 151800.379 , MEAN : 0.000 , STD : 1.504
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 147322.685 , KL LOSS : 46740.409 , TOTAL LOSS : 147322.685 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 142172.042 , KL LOSS : 49954.120 , TOTAL LOSS : 142172.042 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 136432.447 , KL LOSS : 54692.403 , TOTAL LOSS : 136432.447 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 130195.656 , KL LOSS : 62855.771 , TOTAL LOSS : 130195.656 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 123325.802 , KL LOSS : 63976.790 , TOTAL LOSS : 123325.802 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 116294.535 , KL LOSS : 68175.699 , TOTAL LOSS : 116294.535 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  15 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 109092.015 , KL LOSS : 72663.490 , TOTAL LOSS : 109092.015 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  16 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 101909.667 , KL LOSS : 61381.247 , TOTAL LOSS : 101909.667 , MEAN : 0.000 , STD : 1.503
-> EPOCH :  17 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 94978.685 , KL LOSS : 66135.279 , TOTAL LOSS : 94978.685 , MEAN : 0.000 , STD : 1.503
-> EPOCH :  18 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 88236.341 , KL LOSS : 62900.913 , TOTAL LOSS : 88236.341 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  19 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 81588.827 , KL LOSS : 61723.178 , TOTAL LOSS : 81588.827 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  20 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 76125.723 , KL LOSS : 58872.917 , TOTAL LOSS : 76125.723 , MEAN : 0.000 , STD : 1.504
-> EPOCH :  21 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 71068.237 , KL LOSS : 52213.564 , TOTAL LOSS : 71068.237 , MEAN : -0.000 , STD : 1.505
-> EPOCH :  22 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 66343.199 , KL LOSS : 49129.979 , TOTAL LOSS : 66343.199 , MEAN : -0.000 , STD : 1.505
-> EPOCH :  23 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 62362.511 , KL LOSS : 30750.343 , TOTAL LOSS : 62362.511 , MEAN : -0.000 , STD : 1.504
-> EPOCH :  24 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 58892.860 , KL LOSS : 30264.166 , TOTAL LOSS : 58892.860 , MEAN : 0.000 , STD : 1.506
-> EPOCH :  25 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 55770.913 , KL LOSS : 50016.267 , TOTAL LOSS : 55770.913 , MEAN : -0.000 , STD : 1.507
-> EPOCH :  26 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 55078.245 , KL LOSS : 153321.255 , TOTAL LOSS : 55078.245 , MEAN : -0.000 , STD : 1.508
-> EPOCH :  27 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 52735.888 , KL LOSS : 67935.462 , TOTAL LOSS : 52735.888 , MEAN : -0.000 , STD : 1.509
-> EPOCH :  28 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 50800.172 , KL LOSS : 84814.773 , TOTAL LOSS : 50800.172 , MEAN : -0.000 , STD : 1.509
-> EPOCH :  29 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 49913.566 , KL LOSS : 59601.375 , TOTAL LOSS : 49913.566 , MEAN : -0.000 , STD : 1.510
-> EPOCH :  30 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 49936.890 , KL LOSS : 62928.873 , TOTAL LOSS : 49936.890 , MEAN : -0.000 , STD : 1.510
-> EPOCH :  31 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 47604.696 , KL LOSS : 148472.163 , TOTAL LOSS : 47604.696 , MEAN : -0.000 , STD : 1.510
-> EPOCH :  32 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 47421.040 , KL LOSS : 327114.720 , TOTAL LOSS : 47421.040 , MEAN : -0.000 , STD : 1.511
-> EPOCH :  33 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 47052.667 , KL LOSS : 222109.838 , TOTAL LOSS : 47052.667 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 46298.469 , KL LOSS : 269826.605 , TOTAL LOSS : 46298.469 , MEAN : -0.000 , STD : 1.514
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 45757.264 , KL LOSS : 190983.323 , TOTAL LOSS : 45757.264 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 46121.538 , KL LOSS : 97165.074 , TOTAL LOSS : 46121.538 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 44546.217 , KL LOSS : 113712.475 , TOTAL LOSS : 44546.217 , MEAN : -0.000 , STD : 1.511
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43869.231 , KL LOSS : 161281.514 , TOTAL LOSS : 43869.231 , MEAN : 0.000 , STD : 1.510
