-> EPOCH :   1 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 37.915 , KL LOSS : 4.378 , TOTAL LOSS : 42.293 , MEAN : 0.030 , STD : 1.028
-> EPOCH :   2 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 34.338 , KL LOSS : 6.851 , TOTAL LOSS : 41.189 , MEAN : 0.015 , STD : 1.001
-> EPOCH :   3 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 33.297 , KL LOSS : 7.749 , TOTAL LOSS : 41.046 , MEAN : 0.011 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 32.229 , KL LOSS : 7.586 , TOTAL LOSS : 39.815 , MEAN : 0.009 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 31.793 , KL LOSS : 8.132 , TOTAL LOSS : 39.925 , MEAN : 0.008 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 30.907 , KL LOSS : 8.656 , TOTAL LOSS : 39.562 , MEAN : 0.007 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 31.874 , KL LOSS : 8.964 , TOTAL LOSS : 40.838 , MEAN : 0.004 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.548 , KL LOSS : 8.773 , TOTAL LOSS : 38.321 , MEAN : 0.004 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 30.803 , KL LOSS : 9.029 , TOTAL LOSS : 39.832 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.484 , KL LOSS : 8.878 , TOTAL LOSS : 38.362 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.389 , KL LOSS : 9.147 , TOTAL LOSS : 37.536 , MEAN : 0.003 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.862 , KL LOSS : 9.048 , TOTAL LOSS : 37.910 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 30.155 , KL LOSS : 8.932 , TOTAL LOSS : 39.087 , MEAN : 0.003 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 26.334 , KL LOSS : 8.964 , TOTAL LOSS : 35.298 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.918 , KL LOSS : 9.316 , TOTAL LOSS : 39.234 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.259 , KL LOSS : 9.135 , TOTAL LOSS : 38.394 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.931 , KL LOSS : 9.015 , TOTAL LOSS : 36.946 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.449 , KL LOSS : 9.121 , TOTAL LOSS : 37.570 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.228 , KL LOSS : 9.532 , TOTAL LOSS : 36.760 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.225 , KL LOSS : 9.544 , TOTAL LOSS : 38.770 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.458 , KL LOSS : 8.893 , TOTAL LOSS : 38.351 , MEAN : 0.003 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.259 , KL LOSS : 9.252 , TOTAL LOSS : 38.511 , MEAN : 0.002 , STD : 1.000
