-> EPOCH :   1 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 40.160 , KL LOSS : 4.568 , TOTAL LOSS : 44.728 , MEAN : -0.013 , STD : 1.027
-> EPOCH :   2 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 35.322 , KL LOSS : 6.454 , TOTAL LOSS : 41.776 , MEAN : -0.007 , STD : 1.001
-> EPOCH :   3 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 31.329 , KL LOSS : 7.503 , TOTAL LOSS : 38.833 , MEAN : -0.006 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 30.666 , KL LOSS : 8.069 , TOTAL LOSS : 38.734 , MEAN : -0.004 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 31.403 , KL LOSS : 8.658 , TOTAL LOSS : 40.061 , MEAN : -0.005 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 30.712 , KL LOSS : 8.626 , TOTAL LOSS : 39.338 , MEAN : -0.003 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.432 , KL LOSS : 9.372 , TOTAL LOSS : 38.804 , MEAN : -0.003 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 32.268 , KL LOSS : 8.875 , TOTAL LOSS : 41.143 , MEAN : -0.002 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.236 , KL LOSS : 8.289 , TOTAL LOSS : 37.526 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 30.362 , KL LOSS : 8.773 , TOTAL LOSS : 39.135 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.051 , KL LOSS : 9.568 , TOTAL LOSS : 36.619 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.780 , KL LOSS : 8.547 , TOTAL LOSS : 38.327 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.232 , KL LOSS : 8.819 , TOTAL LOSS : 38.052 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.667 , KL LOSS : 9.345 , TOTAL LOSS : 39.012 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 30.465 , KL LOSS : 9.289 , TOTAL LOSS : 39.754 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.529 , KL LOSS : 9.255 , TOTAL LOSS : 37.784 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 31.890 , KL LOSS : 8.966 , TOTAL LOSS : 40.855 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.853 , KL LOSS : 9.552 , TOTAL LOSS : 39.404 , MEAN : -0.003 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.815 , KL LOSS : 9.413 , TOTAL LOSS : 37.228 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.058 , KL LOSS : 9.804 , TOTAL LOSS : 37.862 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.008 , KL LOSS : 9.223 , TOTAL LOSS : 36.230 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.640 , KL LOSS : 9.421 , TOTAL LOSS : 38.061 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.234 , KL LOSS : 9.119 , TOTAL LOSS : 36.353 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 29.060 , KL LOSS : 9.521 , TOTAL LOSS : 38.581 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  25 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 25.998 , KL LOSS : 9.526 , TOTAL LOSS : 35.524 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  26 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.020 , KL LOSS : 9.395 , TOTAL LOSS : 37.415 , MEAN : 0.000 , STD : 1.000
