-> EPOCH :   1 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 53.829 , KL LOSS : 0.032 , TOTAL LOSS : 53.987 , MEAN : 0.001 , STD : 1.021
-> EPOCH :   2 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.659 , KL LOSS : 0.183 , TOTAL LOSS : 52.574 , MEAN : 0.000 , STD : 1.007
-> EPOCH :   3 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.428 , KL LOSS : 0.257 , TOTAL LOSS : 52.713 , MEAN : -0.000 , STD : 1.005
-> EPOCH :   4 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.309 , KL LOSS : 0.433 , TOTAL LOSS : 51.476 , MEAN : -0.000 , STD : 1.003
-> EPOCH :   5 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.847 , KL LOSS : 0.599 , TOTAL LOSS : 53.840 , MEAN : 0.000 , STD : 1.003
-> EPOCH :   6 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.732 , KL LOSS : 0.406 , TOTAL LOSS : 51.759 , MEAN : -0.000 , STD : 1.002
-> EPOCH :   7 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.183 , KL LOSS : 0.383 , TOTAL LOSS : 52.099 , MEAN : -0.000 , STD : 1.002
-> EPOCH :   8 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.575 , KL LOSS : 0.520 , TOTAL LOSS : 53.174 , MEAN : -0.000 , STD : 1.002
-> EPOCH :   9 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.216 , KL LOSS : 0.424 , TOTAL LOSS : 52.334 , MEAN : -0.000 , STD : 1.001
-> EPOCH :  10 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.813 , KL LOSS : 0.376 , TOTAL LOSS : 51.694 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  11 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.829 , KL LOSS : 0.516 , TOTAL LOSS : 51.410 , MEAN : -0.000 , STD : 1.001
-> EPOCH :  12 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.815 , KL LOSS : 0.396 , TOTAL LOSS : 50.793 , MEAN : -0.000 , STD : 1.001
-> EPOCH :  13 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.067 , KL LOSS : 0.500 , TOTAL LOSS : 50.569 , MEAN : -0.000 , STD : 1.001
-> EPOCH :  14 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.711 , KL LOSS : 0.509 , TOTAL LOSS : 52.257 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  15 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.138 , KL LOSS : 0.448 , TOTAL LOSS : 52.379 , MEAN : -0.000 , STD : 1.001
