-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 20.033 , KL LOSS : 14369.709 , TOTAL LOSS : 20.033 , MEAN : 5.179 , STD : 1.155
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.676 , KL LOSS : 21732.215 , TOTAL LOSS : 13.676 , MEAN : 11.911 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.969 , KL LOSS : 24130.443 , TOTAL LOSS : 11.969 , MEAN : 13.464 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 11.715 , KL LOSS : 25686.967 , TOTAL LOSS : 11.715 , MEAN : 13.713 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 9.709 , KL LOSS : 25453.434 , TOTAL LOSS : 9.709 , MEAN : 13.674 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 8.682 , KL LOSS : 27364.521 , TOTAL LOSS : 8.682 , MEAN : 13.822 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 8.526 , KL LOSS : 28682.871 , TOTAL LOSS : 8.526 , MEAN : 14.053 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 8.790 , KL LOSS : 31244.449 , TOTAL LOSS : 8.790 , MEAN : 14.167 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 8.390 , KL LOSS : 33247.891 , TOTAL LOSS : 8.390 , MEAN : 14.177 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 8.304 , KL LOSS : 38936.285 , TOTAL LOSS : 8.304 , MEAN : 14.234 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 8.682 , KL LOSS : 36690.312 , TOTAL LOSS : 8.682 , MEAN : 14.375 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 8.509 , KL LOSS : 40023.875 , TOTAL LOSS : 8.509 , MEAN : 14.683 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 7.060 , KL LOSS : 38409.000 , TOTAL LOSS : 7.060 , MEAN : 14.881 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 7.501 , KL LOSS : 41798.617 , TOTAL LOSS : 7.501 , MEAN : 14.951 , STD : 1.000
