-> EPOCH :   1 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.727 , KL LOSS : 0.052 , TOTAL LOSS : 51.988 , MEAN : 0.000 , STD : 1.017
-> EPOCH :   2 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.254 , KL LOSS : 0.280 , TOTAL LOSS : 52.653 , MEAN : 0.000 , STD : 1.007
-> EPOCH :   3 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.060 , KL LOSS : 0.405 , TOTAL LOSS : 51.086 , MEAN : 0.000 , STD : 1.004
-> EPOCH :   4 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.666 , KL LOSS : 0.265 , TOTAL LOSS : 51.994 , MEAN : 0.000 , STD : 1.003
-> EPOCH :   5 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.576 , KL LOSS : 0.372 , TOTAL LOSS : 53.437 , MEAN : 0.000 , STD : 1.003
-> EPOCH :   6 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.500 , KL LOSS : 0.528 , TOTAL LOSS : 53.142 , MEAN : 0.000 , STD : 1.002
-> EPOCH :   7 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.329 , KL LOSS : 0.543 , TOTAL LOSS : 52.046 , MEAN : 0.000 , STD : 1.001
-> EPOCH :   8 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.329 , KL LOSS : 0.413 , TOTAL LOSS : 53.395 , MEAN : 0.000 , STD : 1.001
-> EPOCH :   9 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.231 , KL LOSS : 0.583 , TOTAL LOSS : 51.144 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  10 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.062 , KL LOSS : 0.503 , TOTAL LOSS : 52.577 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  11 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.335 , KL LOSS : 0.536 , TOTAL LOSS : 53.015 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  12 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.336 , KL LOSS : 0.409 , TOTAL LOSS : 51.383 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  13 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.589 , KL LOSS : 0.524 , TOTAL LOSS : 53.209 , MEAN : -0.000 , STD : 1.001
-> EPOCH :  14 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 47.543 , KL LOSS : 0.470 , TOTAL LOSS : 49.894 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  15 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.149 , KL LOSS : 0.603 , TOTAL LOSS : 52.165 , MEAN : 0.000 , STD : 1.001
-> EPOCH :  16 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.745 , KL LOSS : 0.399 , TOTAL LOSS : 51.739 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.080 , KL LOSS : 0.468 , TOTAL LOSS : 50.421 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.712 , KL LOSS : 0.526 , TOTAL LOSS : 52.344 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.509 , KL LOSS : 0.517 , TOTAL LOSS : 51.094 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.542 , KL LOSS : 0.571 , TOTAL LOSS : 52.396 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.449 , KL LOSS : 0.477 , TOTAL LOSS : 51.833 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.036 , KL LOSS : 0.574 , TOTAL LOSS : 53.907 , MEAN : -0.000 , STD : 1.000
