-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.248 , KL LOSS : 15494.821 , TOTAL LOSS : 15.248 , MEAN : 1.956 , STD : 1.132
-> EPOCH :   2 , BETA VALUE : 0.033 , RECONSTRUCTION LOSS : 15.013 , KL LOSS : 90.584 , TOTAL LOSS : 18.002 , MEAN : 0.048 , STD : 1.011
-> EPOCH :   3 , BETA VALUE : 0.066 , RECONSTRUCTION LOSS : 13.957 , KL LOSS : 61.662 , TOTAL LOSS : 18.027 , MEAN : 0.004 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.099 , RECONSTRUCTION LOSS : 14.739 , KL LOSS : 51.324 , TOTAL LOSS : 19.820 , MEAN : 0.007 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.132 , RECONSTRUCTION LOSS : 15.234 , KL LOSS : 41.539 , TOTAL LOSS : 20.717 , MEAN : 0.001 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.165 , RECONSTRUCTION LOSS : 17.064 , KL LOSS : 38.390 , TOTAL LOSS : 23.398 , MEAN : -0.001 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.198 , RECONSTRUCTION LOSS : 16.587 , KL LOSS : 33.296 , TOTAL LOSS : 23.179 , MEAN : -0.002 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.231 , RECONSTRUCTION LOSS : 16.840 , KL LOSS : 29.943 , TOTAL LOSS : 23.757 , MEAN : -0.002 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.264 , RECONSTRUCTION LOSS : 17.040 , KL LOSS : 29.591 , TOTAL LOSS : 24.852 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.297 , RECONSTRUCTION LOSS : 18.034 , KL LOSS : 25.085 , TOTAL LOSS : 25.484 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.330 , RECONSTRUCTION LOSS : 18.267 , KL LOSS : 24.433 , TOTAL LOSS : 26.330 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.363 , RECONSTRUCTION LOSS : 18.571 , KL LOSS : 22.765 , TOTAL LOSS : 26.835 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.396 , RECONSTRUCTION LOSS : 18.518 , KL LOSS : 21.389 , TOTAL LOSS : 26.988 , MEAN : -0.003 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.429 , RECONSTRUCTION LOSS : 19.345 , KL LOSS : 22.219 , TOTAL LOSS : 28.877 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.462 , RECONSTRUCTION LOSS : 20.589 , KL LOSS : 19.168 , TOTAL LOSS : 29.445 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.495 , RECONSTRUCTION LOSS : 20.438 , KL LOSS : 16.881 , TOTAL LOSS : 28.794 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.528 , RECONSTRUCTION LOSS : 18.868 , KL LOSS : 19.876 , TOTAL LOSS : 29.362 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.561 , RECONSTRUCTION LOSS : 21.563 , KL LOSS : 15.051 , TOTAL LOSS : 30.007 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.594 , RECONSTRUCTION LOSS : 22.300 , KL LOSS : 15.915 , TOTAL LOSS : 31.754 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.627 , RECONSTRUCTION LOSS : 22.494 , KL LOSS : 14.484 , TOTAL LOSS : 31.575 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.660 , RECONSTRUCTION LOSS : 21.410 , KL LOSS : 15.720 , TOTAL LOSS : 31.785 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.693 , RECONSTRUCTION LOSS : 22.762 , KL LOSS : 14.315 , TOTAL LOSS : 32.682 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.726 , RECONSTRUCTION LOSS : 23.329 , KL LOSS : 15.592 , TOTAL LOSS : 34.649 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 0.759 , RECONSTRUCTION LOSS : 23.828 , KL LOSS : 14.415 , TOTAL LOSS : 34.769 , MEAN : 0.001 , STD : 1.000
