-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.156 , KL LOSS : 2580.715 , TOTAL LOSS : 18.414 , MEAN : -2.966 , STD : 1.142
-> EPOCH :   2 , BETA VALUE : 0.013 , RECONSTRUCTION LOSS : 14.729 , KL LOSS : 162.238 , TOTAL LOSS : 16.854 , MEAN : -0.450 , STD : 1.001
-> EPOCH :   3 , BETA VALUE : 0.026 , RECONSTRUCTION LOSS : 13.239 , KL LOSS : 111.935 , TOTAL LOSS : 16.160 , MEAN : -0.125 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.039 , RECONSTRUCTION LOSS : 13.251 , KL LOSS : 92.182 , TOTAL LOSS : 16.855 , MEAN : -0.068 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.052 , RECONSTRUCTION LOSS : 13.109 , KL LOSS : 75.975 , TOTAL LOSS : 17.068 , MEAN : -0.041 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.065 , RECONSTRUCTION LOSS : 13.798 , KL LOSS : 70.267 , TOTAL LOSS : 18.372 , MEAN : -0.028 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.078 , RECONSTRUCTION LOSS : 13.798 , KL LOSS : 57.275 , TOTAL LOSS : 18.272 , MEAN : -0.017 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.091 , RECONSTRUCTION LOSS : 13.971 , KL LOSS : 60.667 , TOTAL LOSS : 19.498 , MEAN : -0.015 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.104 , RECONSTRUCTION LOSS : 12.966 , KL LOSS : 54.045 , TOTAL LOSS : 18.592 , MEAN : -0.012 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.117 , RECONSTRUCTION LOSS : 14.170 , KL LOSS : 46.408 , TOTAL LOSS : 19.604 , MEAN : -0.011 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.130 , RECONSTRUCTION LOSS : 14.020 , KL LOSS : 45.435 , TOTAL LOSS : 19.931 , MEAN : -0.008 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.143 , RECONSTRUCTION LOSS : 14.315 , KL LOSS : 40.759 , TOTAL LOSS : 20.148 , MEAN : -0.008 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.156 , RECONSTRUCTION LOSS : 14.493 , KL LOSS : 39.117 , TOTAL LOSS : 20.599 , MEAN : -0.007 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.169 , RECONSTRUCTION LOSS : 13.981 , KL LOSS : 37.676 , TOTAL LOSS : 20.352 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.182 , RECONSTRUCTION LOSS : 15.466 , KL LOSS : 33.589 , TOTAL LOSS : 21.582 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.195 , RECONSTRUCTION LOSS : 17.005 , KL LOSS : 36.075 , TOTAL LOSS : 24.043 , MEAN : -0.005 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.208 , RECONSTRUCTION LOSS : 15.426 , KL LOSS : 33.787 , TOTAL LOSS : 22.457 , MEAN : -0.005 , STD : 1.000
