-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32.753 , KL LOSS : 6058.009 , TOTAL LOSS : 32.753 , MEAN : 3.120 , STD : 1.110
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 12.708 , KL LOSS : 22377.206 , TOTAL LOSS : 12.708 , MEAN : 5.193 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.020 , RECONSTRUCTION LOSS : 17.863 , KL LOSS : 202.218 , TOTAL LOSS : 21.908 , MEAN : 0.055 , STD : 1.005
-> EPOCH :   4 , BETA VALUE : 0.020 , RECONSTRUCTION LOSS : 12.140 , KL LOSS : 135.318 , TOTAL LOSS : 14.846 , MEAN : -0.005 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.020 , RECONSTRUCTION LOSS : 11.106 , KL LOSS : 137.754 , TOTAL LOSS : 13.861 , MEAN : 0.003 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.040 , RECONSTRUCTION LOSS : 11.838 , KL LOSS : 94.734 , TOTAL LOSS : 15.627 , MEAN : -0.005 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.040 , RECONSTRUCTION LOSS : 11.457 , KL LOSS : 93.310 , TOTAL LOSS : 15.190 , MEAN : 0.001 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.040 , RECONSTRUCTION LOSS : 11.081 , KL LOSS : 93.255 , TOTAL LOSS : 14.811 , MEAN : -0.004 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.040 , RECONSTRUCTION LOSS : 10.832 , KL LOSS : 92.892 , TOTAL LOSS : 14.548 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.040 , RECONSTRUCTION LOSS : 10.628 , KL LOSS : 92.699 , TOTAL LOSS : 14.336 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.040 , RECONSTRUCTION LOSS : 10.430 , KL LOSS : 92.739 , TOTAL LOSS : 14.140 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.050 , RECONSTRUCTION LOSS : 10.748 , KL LOSS : 81.968 , TOTAL LOSS : 14.847 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.050 , RECONSTRUCTION LOSS : 10.649 , KL LOSS : 81.225 , TOTAL LOSS : 14.710 , MEAN : -0.006 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.050 , RECONSTRUCTION LOSS : 10.521 , KL LOSS : 81.285 , TOTAL LOSS : 14.585 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.050 , RECONSTRUCTION LOSS : 10.383 , KL LOSS : 81.163 , TOTAL LOSS : 14.441 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.050 , RECONSTRUCTION LOSS : 10.284 , KL LOSS : 80.758 , TOTAL LOSS : 14.321 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.050 , RECONSTRUCTION LOSS : 10.180 , KL LOSS : 80.671 , TOTAL LOSS : 14.214 , MEAN : 0.003 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.060 , RECONSTRUCTION LOSS : 10.548 , KL LOSS : 72.931 , TOTAL LOSS : 14.924 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.060 , RECONSTRUCTION LOSS : 10.442 , KL LOSS : 72.546 , TOTAL LOSS : 14.795 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.060 , RECONSTRUCTION LOSS : 10.370 , KL LOSS : 72.351 , TOTAL LOSS : 14.711 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.060 , RECONSTRUCTION LOSS : 10.289 , KL LOSS : 72.411 , TOTAL LOSS : 14.634 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.060 , RECONSTRUCTION LOSS : 10.212 , KL LOSS : 72.201 , TOTAL LOSS : 14.544 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.060 , RECONSTRUCTION LOSS : 10.168 , KL LOSS : 72.241 , TOTAL LOSS : 14.502 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 0.070 , RECONSTRUCTION LOSS : 10.513 , KL LOSS : 66.346 , TOTAL LOSS : 15.157 , MEAN : 0.001 , STD : 1.000
