-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 42.591 , KL LOSS : 2919.978 , TOTAL LOSS : 42.591 , MEAN : 2.511 , STD : 1.222
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19.207 , KL LOSS : 16248.668 , TOTAL LOSS : 19.207 , MEAN : 7.389 , STD : 1.001
-> EPOCH :   3 , BETA VALUE : 0.033 , RECONSTRUCTION LOSS : 23.448 , KL LOSS : 180.802 , TOTAL LOSS : 29.414 , MEAN : 0.180 , STD : 1.012
-> EPOCH :   4 , BETA VALUE : 0.033 , RECONSTRUCTION LOSS : 17.060 , KL LOSS : 91.901 , TOTAL LOSS : 20.092 , MEAN : 0.076 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.066 , RECONSTRUCTION LOSS : 16.869 , KL LOSS : 64.550 , TOTAL LOSS : 21.129 , MEAN : 0.036 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.066 , RECONSTRUCTION LOSS : 15.947 , KL LOSS : 63.709 , TOTAL LOSS : 20.152 , MEAN : 0.026 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.066 , RECONSTRUCTION LOSS : 15.313 , KL LOSS : 64.391 , TOTAL LOSS : 19.563 , MEAN : 0.021 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.099 , RECONSTRUCTION LOSS : 15.874 , KL LOSS : 51.670 , TOTAL LOSS : 20.989 , MEAN : 0.007 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.099 , RECONSTRUCTION LOSS : 15.510 , KL LOSS : 51.396 , TOTAL LOSS : 20.598 , MEAN : 0.008 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.099 , RECONSTRUCTION LOSS : 15.213 , KL LOSS : 51.618 , TOTAL LOSS : 20.324 , MEAN : 0.008 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.119 , RECONSTRUCTION LOSS : 15.461 , KL LOSS : 46.618 , TOTAL LOSS : 21.009 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.119 , RECONSTRUCTION LOSS : 15.227 , KL LOSS : 46.544 , TOTAL LOSS : 20.766 , MEAN : 0.007 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.119 , RECONSTRUCTION LOSS : 15.014 , KL LOSS : 46.619 , TOTAL LOSS : 20.562 , MEAN : 0.005 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.139 , RECONSTRUCTION LOSS : 15.329 , KL LOSS : 42.736 , TOTAL LOSS : 21.269 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.139 , RECONSTRUCTION LOSS : 15.164 , KL LOSS : 42.702 , TOTAL LOSS : 21.099 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.139 , RECONSTRUCTION LOSS : 15.037 , KL LOSS : 42.719 , TOTAL LOSS : 20.975 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.159 , RECONSTRUCTION LOSS : 15.371 , KL LOSS : 39.605 , TOTAL LOSS : 21.668 , MEAN : 0.005 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.159 , RECONSTRUCTION LOSS : 15.256 , KL LOSS : 39.554 , TOTAL LOSS : 21.545 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.159 , RECONSTRUCTION LOSS : 15.144 , KL LOSS : 39.460 , TOTAL LOSS : 21.419 , MEAN : 0.003 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.179 , RECONSTRUCTION LOSS : 15.443 , KL LOSS : 36.861 , TOTAL LOSS : 22.041 , MEAN : 0.003 , STD : 1.000
