-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35.797 , KL LOSS : 4534.527 , TOTAL LOSS : 35.797 , MEAN : 1.402 , STD : 1.210
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.844 , KL LOSS : 22733.752 , TOTAL LOSS : 13.844 , MEAN : 2.588 , STD : 1.001
-> EPOCH :   3 , BETA VALUE : 0.020 , RECONSTRUCTION LOSS : 18.103 , KL LOSS : 210.424 , TOTAL LOSS : 22.311 , MEAN : -0.001 , STD : 1.008
-> EPOCH :   4 , BETA VALUE : 0.040 , RECONSTRUCTION LOSS : 13.640 , KL LOSS : 91.138 , TOTAL LOSS : 17.286 , MEAN : 0.003 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.060 , RECONSTRUCTION LOSS : 13.504 , KL LOSS : 72.410 , TOTAL LOSS : 17.849 , MEAN : -0.006 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.080 , RECONSTRUCTION LOSS : 13.709 , KL LOSS : 60.895 , TOTAL LOSS : 18.581 , MEAN : -0.007 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.100 , RECONSTRUCTION LOSS : 14.037 , KL LOSS : 52.985 , TOTAL LOSS : 19.336 , MEAN : -0.003 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.120 , RECONSTRUCTION LOSS : 14.376 , KL LOSS : 47.359 , TOTAL LOSS : 20.059 , MEAN : -0.003 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.140 , RECONSTRUCTION LOSS : 14.744 , KL LOSS : 43.012 , TOTAL LOSS : 20.765 , MEAN : -0.008 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.160 , RECONSTRUCTION LOSS : 15.046 , KL LOSS : 39.455 , TOTAL LOSS : 21.359 , MEAN : -0.005 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.180 , RECONSTRUCTION LOSS : 15.359 , KL LOSS : 36.525 , TOTAL LOSS : 21.933 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.200 , RECONSTRUCTION LOSS : 15.643 , KL LOSS : 34.148 , TOTAL LOSS : 22.472 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.220 , RECONSTRUCTION LOSS : 15.973 , KL LOSS : 32.173 , TOTAL LOSS : 23.051 , MEAN : -0.001 , STD : 1.000
