-> EPOCH :   1 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43.053 , KL LOSS : 2552.234 , TOTAL LOSS : 43.053 , MEAN : 2.185 , STD : 1.215
-> EPOCH :   2 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19.799 , KL LOSS : 16485.972 , TOTAL LOSS : 19.799 , MEAN : 6.439 , STD : 1.001
-> EPOCH :   3 , BETA VALUE : 0.033 , RECONSTRUCTION LOSS : 23.664 , KL LOSS : 200.243 , TOTAL LOSS : 30.272 , MEAN : 0.299 , STD : 1.013
-> EPOCH :   4 , BETA VALUE : 0.033 , RECONSTRUCTION LOSS : 17.082 , KL LOSS : 91.350 , TOTAL LOSS : 20.097 , MEAN : 0.152 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.033 , RECONSTRUCTION LOSS : 15.472 , KL LOSS : 94.015 , TOTAL LOSS : 18.574 , MEAN : 0.107 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.033 , RECONSTRUCTION LOSS : 14.456 , KL LOSS : 95.698 , TOTAL LOSS : 17.614 , MEAN : 0.084 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.066 , RECONSTRUCTION LOSS : 15.149 , KL LOSS : 66.851 , TOTAL LOSS : 19.561 , MEAN : 0.044 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.066 , RECONSTRUCTION LOSS : 14.635 , KL LOSS : 65.778 , TOTAL LOSS : 18.976 , MEAN : 0.039 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.066 , RECONSTRUCTION LOSS : 14.190 , KL LOSS : 66.151 , TOTAL LOSS : 18.556 , MEAN : 0.033 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.086 , RECONSTRUCTION LOSS : 14.526 , KL LOSS : 57.411 , TOTAL LOSS : 19.464 , MEAN : 0.021 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.086 , RECONSTRUCTION LOSS : 14.224 , KL LOSS : 57.222 , TOTAL LOSS : 19.145 , MEAN : 0.018 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.086 , RECONSTRUCTION LOSS : 13.963 , KL LOSS : 57.355 , TOTAL LOSS : 18.895 , MEAN : 0.016 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.106 , RECONSTRUCTION LOSS : 14.363 , KL LOSS : 51.256 , TOTAL LOSS : 19.796 , MEAN : 0.011 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.106 , RECONSTRUCTION LOSS : 14.132 , KL LOSS : 50.887 , TOTAL LOSS : 19.526 , MEAN : 0.007 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.106 , RECONSTRUCTION LOSS : 13.954 , KL LOSS : 51.077 , TOTAL LOSS : 19.369 , MEAN : 0.006 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.126 , RECONSTRUCTION LOSS : 14.337 , KL LOSS : 46.414 , TOTAL LOSS : 20.185 , MEAN : 0.009 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.126 , RECONSTRUCTION LOSS : 14.234 , KL LOSS : 46.260 , TOTAL LOSS : 20.063 , MEAN : 0.004 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.126 , RECONSTRUCTION LOSS : 14.086 , KL LOSS : 46.186 , TOTAL LOSS : 19.905 , MEAN : 0.005 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.146 , RECONSTRUCTION LOSS : 14.492 , KL LOSS : 42.493 , TOTAL LOSS : 20.696 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.146 , RECONSTRUCTION LOSS : 14.415 , KL LOSS : 42.302 , TOTAL LOSS : 20.591 , MEAN : 0.002 , STD : 1.000
