-> EPOCH :   1 , BETA VALUE : 0.043 , RECONSTRUCTION LOSS : 31.839 , KL LOSS : 41.086 , TOTAL LOSS : 33.605 , MEAN : -0.147 , STD : 1.178
-> EPOCH :   2 , BETA VALUE : 0.076 , RECONSTRUCTION LOSS : 24.050 , KL LOSS : 42.068 , TOTAL LOSS : 27.247 , MEAN : -0.153 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.109 , RECONSTRUCTION LOSS : 22.332 , KL LOSS : 39.541 , TOTAL LOSS : 26.642 , MEAN : -0.061 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.142 , RECONSTRUCTION LOSS : 22.538 , KL LOSS : 33.075 , TOTAL LOSS : 27.234 , MEAN : -0.039 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.175 , RECONSTRUCTION LOSS : 22.732 , KL LOSS : 29.713 , TOTAL LOSS : 27.932 , MEAN : -0.029 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.208 , RECONSTRUCTION LOSS : 22.259 , KL LOSS : 26.849 , TOTAL LOSS : 27.844 , MEAN : -0.022 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.241 , RECONSTRUCTION LOSS : 21.371 , KL LOSS : 25.322 , TOTAL LOSS : 27.473 , MEAN : -0.014 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.274 , RECONSTRUCTION LOSS : 22.947 , KL LOSS : 24.521 , TOTAL LOSS : 29.666 , MEAN : -0.011 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.307 , RECONSTRUCTION LOSS : 22.454 , KL LOSS : 21.239 , TOTAL LOSS : 28.975 , MEAN : -0.012 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.340 , RECONSTRUCTION LOSS : 23.159 , KL LOSS : 20.581 , TOTAL LOSS : 30.157 , MEAN : -0.009 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.373 , RECONSTRUCTION LOSS : 23.733 , KL LOSS : 18.194 , TOTAL LOSS : 30.520 , MEAN : -0.006 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.406 , RECONSTRUCTION LOSS : 24.040 , KL LOSS : 18.693 , TOTAL LOSS : 31.629 , MEAN : -0.007 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.439 , RECONSTRUCTION LOSS : 23.369 , KL LOSS : 16.107 , TOTAL LOSS : 30.440 , MEAN : -0.003 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.472 , RECONSTRUCTION LOSS : 23.498 , KL LOSS : 16.755 , TOTAL LOSS : 31.406 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.505 , RECONSTRUCTION LOSS : 23.881 , KL LOSS : 15.761 , TOTAL LOSS : 31.840 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.538 , RECONSTRUCTION LOSS : 25.461 , KL LOSS : 15.852 , TOTAL LOSS : 33.990 , MEAN : -0.003 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.571 , RECONSTRUCTION LOSS : 25.420 , KL LOSS : 14.932 , TOTAL LOSS : 33.947 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.604 , RECONSTRUCTION LOSS : 24.392 , KL LOSS : 14.448 , TOTAL LOSS : 33.118 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.637 , RECONSTRUCTION LOSS : 25.392 , KL LOSS : 13.535 , TOTAL LOSS : 34.014 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.670 , RECONSTRUCTION LOSS : 26.786 , KL LOSS : 12.440 , TOTAL LOSS : 35.121 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.703 , RECONSTRUCTION LOSS : 26.259 , KL LOSS : 12.178 , TOTAL LOSS : 34.820 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.736 , RECONSTRUCTION LOSS : 26.457 , KL LOSS : 12.881 , TOTAL LOSS : 35.937 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.769 , RECONSTRUCTION LOSS : 23.379 , KL LOSS : 12.831 , TOTAL LOSS : 33.246 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 0.802 , RECONSTRUCTION LOSS : 26.988 , KL LOSS : 12.212 , TOTAL LOSS : 36.782 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  25 , BETA VALUE : 0.835 , RECONSTRUCTION LOSS : 27.630 , KL LOSS : 10.975 , TOTAL LOSS : 36.794 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  26 , BETA VALUE : 0.868 , RECONSTRUCTION LOSS : 28.447 , KL LOSS : 11.581 , TOTAL LOSS : 38.499 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  27 , BETA VALUE : 0.901 , RECONSTRUCTION LOSS : 27.779 , KL LOSS : 9.896 , TOTAL LOSS : 36.695 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  28 , BETA VALUE : 0.934 , RECONSTRUCTION LOSS : 27.358 , KL LOSS : 10.055 , TOTAL LOSS : 36.749 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  29 , BETA VALUE : 0.967 , RECONSTRUCTION LOSS : 28.192 , KL LOSS : 9.765 , TOTAL LOSS : 37.634 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  30 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.536 , KL LOSS : 9.351 , TOTAL LOSS : 36.888 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  31 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.574 , KL LOSS : 9.267 , TOTAL LOSS : 37.841 , MEAN : -0.004 , STD : 1.000
-> EPOCH :  32 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.826 , KL LOSS : 9.517 , TOTAL LOSS : 37.344 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  33 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.896 , KL LOSS : 9.990 , TOTAL LOSS : 37.886 , MEAN : 0.000 , STD : 1.000
