-> EPOCH :   1 , BETA VALUE : 0.043 , RECONSTRUCTION LOSS : 19.258 , KL LOSS : 66.219 , TOTAL LOSS : 22.106 , MEAN : 0.083 , STD : 1.070
-> EPOCH :   2 , BETA VALUE : 0.076 , RECONSTRUCTION LOSS : 15.183 , KL LOSS : 57.955 , TOTAL LOSS : 19.588 , MEAN : 0.031 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.109 , RECONSTRUCTION LOSS : 16.385 , KL LOSS : 44.260 , TOTAL LOSS : 21.209 , MEAN : 0.019 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.142 , RECONSTRUCTION LOSS : 16.832 , KL LOSS : 42.584 , TOTAL LOSS : 22.879 , MEAN : 0.009 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.175 , RECONSTRUCTION LOSS : 16.690 , KL LOSS : 33.567 , TOTAL LOSS : 22.565 , MEAN : 0.001 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.208 , RECONSTRUCTION LOSS : 17.035 , KL LOSS : 29.637 , TOTAL LOSS : 23.200 , MEAN : 0.002 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.241 , RECONSTRUCTION LOSS : 18.674 , KL LOSS : 29.276 , TOTAL LOSS : 25.730 , MEAN : -0.003 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.274 , RECONSTRUCTION LOSS : 18.183 , KL LOSS : 28.089 , TOTAL LOSS : 25.879 , MEAN : -0.001 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.307 , RECONSTRUCTION LOSS : 19.346 , KL LOSS : 26.295 , TOTAL LOSS : 27.419 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.340 , RECONSTRUCTION LOSS : 18.628 , KL LOSS : 23.637 , TOTAL LOSS : 26.665 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.373 , RECONSTRUCTION LOSS : 19.846 , KL LOSS : 21.153 , TOTAL LOSS : 27.736 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.406 , RECONSTRUCTION LOSS : 20.021 , KL LOSS : 21.312 , TOTAL LOSS : 28.674 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.439 , RECONSTRUCTION LOSS : 20.522 , KL LOSS : 18.568 , TOTAL LOSS : 28.674 , MEAN : -0.001 , STD : 1.000
