-> EPOCH :   1 , BETA VALUE : 0.043 , RECONSTRUCTION LOSS : 22.484 , KL LOSS : 70.259 , TOTAL LOSS : 25.505 , MEAN : -0.026 , STD : 1.085
-> EPOCH :   2 , BETA VALUE : 0.076 , RECONSTRUCTION LOSS : 17.712 , KL LOSS : 57.113 , TOTAL LOSS : 22.053 , MEAN : -0.010 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.109 , RECONSTRUCTION LOSS : 15.851 , KL LOSS : 46.181 , TOTAL LOSS : 20.884 , MEAN : -0.005 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.142 , RECONSTRUCTION LOSS : 15.916 , KL LOSS : 43.510 , TOTAL LOSS : 22.095 , MEAN : -0.005 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.175 , RECONSTRUCTION LOSS : 16.156 , KL LOSS : 35.858 , TOTAL LOSS : 22.432 , MEAN : -0.001 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.208 , RECONSTRUCTION LOSS : 16.296 , KL LOSS : 31.321 , TOTAL LOSS : 22.810 , MEAN : -0.002 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.241 , RECONSTRUCTION LOSS : 18.349 , KL LOSS : 28.957 , TOTAL LOSS : 25.328 , MEAN : -0.002 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.274 , RECONSTRUCTION LOSS : 17.628 , KL LOSS : 26.749 , TOTAL LOSS : 24.957 , MEAN : -0.001 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.307 , RECONSTRUCTION LOSS : 18.773 , KL LOSS : 25.790 , TOTAL LOSS : 26.691 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.340 , RECONSTRUCTION LOSS : 19.179 , KL LOSS : 23.907 , TOTAL LOSS : 27.307 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.373 , RECONSTRUCTION LOSS : 19.962 , KL LOSS : 22.817 , TOTAL LOSS : 28.473 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.406 , RECONSTRUCTION LOSS : 18.475 , KL LOSS : 21.397 , TOTAL LOSS : 27.162 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.439 , RECONSTRUCTION LOSS : 19.212 , KL LOSS : 20.964 , TOTAL LOSS : 28.416 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.472 , RECONSTRUCTION LOSS : 20.138 , KL LOSS : 20.293 , TOTAL LOSS : 29.717 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.505 , RECONSTRUCTION LOSS : 21.418 , KL LOSS : 18.613 , TOTAL LOSS : 30.818 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.538 , RECONSTRUCTION LOSS : 19.344 , KL LOSS : 18.570 , TOTAL LOSS : 29.335 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.571 , RECONSTRUCTION LOSS : 22.260 , KL LOSS : 17.195 , TOTAL LOSS : 32.078 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.604 , RECONSTRUCTION LOSS : 21.878 , KL LOSS : 14.864 , TOTAL LOSS : 30.856 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.637 , RECONSTRUCTION LOSS : 21.621 , KL LOSS : 14.627 , TOTAL LOSS : 30.938 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.670 , RECONSTRUCTION LOSS : 22.732 , KL LOSS : 14.833 , TOTAL LOSS : 32.670 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.703 , RECONSTRUCTION LOSS : 23.196 , KL LOSS : 14.784 , TOTAL LOSS : 33.589 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.736 , RECONSTRUCTION LOSS : 24.045 , KL LOSS : 15.139 , TOTAL LOSS : 35.188 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.769 , RECONSTRUCTION LOSS : 21.261 , KL LOSS : 14.917 , TOTAL LOSS : 32.732 , MEAN : -0.000 , STD : 1.000
