-> EPOCH :   1 , BETA VALUE : 0.043 , RECONSTRUCTION LOSS : 27.483 , KL LOSS : 47.158 , TOTAL LOSS : 29.510 , MEAN : -0.295 , STD : 1.200
-> EPOCH :   2 , BETA VALUE : 0.076 , RECONSTRUCTION LOSS : 23.148 , KL LOSS : 48.624 , TOTAL LOSS : 26.844 , MEAN : -0.079 , STD : 1.001
-> EPOCH :   3 , BETA VALUE : 0.109 , RECONSTRUCTION LOSS : 20.838 , KL LOSS : 40.626 , TOTAL LOSS : 25.266 , MEAN : -0.031 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.142 , RECONSTRUCTION LOSS : 21.116 , KL LOSS : 36.051 , TOTAL LOSS : 26.235 , MEAN : -0.020 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.175 , RECONSTRUCTION LOSS : 19.469 , KL LOSS : 31.244 , TOTAL LOSS : 24.937 , MEAN : -0.009 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.208 , RECONSTRUCTION LOSS : 20.597 , KL LOSS : 29.788 , TOTAL LOSS : 26.793 , MEAN : -0.006 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.241 , RECONSTRUCTION LOSS : 19.500 , KL LOSS : 27.221 , TOTAL LOSS : 26.061 , MEAN : -0.007 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.274 , RECONSTRUCTION LOSS : 20.814 , KL LOSS : 25.678 , TOTAL LOSS : 27.850 , MEAN : -0.002 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.307 , RECONSTRUCTION LOSS : 21.674 , KL LOSS : 23.315 , TOTAL LOSS : 28.832 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.340 , RECONSTRUCTION LOSS : 22.907 , KL LOSS : 22.344 , TOTAL LOSS : 30.504 , MEAN : -0.003 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.373 , RECONSTRUCTION LOSS : 22.376 , KL LOSS : 19.982 , TOTAL LOSS : 29.829 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.406 , RECONSTRUCTION LOSS : 21.530 , KL LOSS : 19.092 , TOTAL LOSS : 29.281 , MEAN : 0.005 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.439 , RECONSTRUCTION LOSS : 22.574 , KL LOSS : 18.952 , TOTAL LOSS : 30.893 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.472 , RECONSTRUCTION LOSS : 23.113 , KL LOSS : 16.449 , TOTAL LOSS : 30.877 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.505 , RECONSTRUCTION LOSS : 24.891 , KL LOSS : 16.114 , TOTAL LOSS : 33.029 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.538 , RECONSTRUCTION LOSS : 24.267 , KL LOSS : 16.015 , TOTAL LOSS : 32.883 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.571 , RECONSTRUCTION LOSS : 26.108 , KL LOSS : 15.551 , TOTAL LOSS : 34.988 , MEAN : 0.003 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.604 , RECONSTRUCTION LOSS : 22.795 , KL LOSS : 15.209 , TOTAL LOSS : 31.982 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.637 , RECONSTRUCTION LOSS : 25.431 , KL LOSS : 13.790 , TOTAL LOSS : 34.215 , MEAN : 0.002 , STD : 1.000
