-> EPOCH :   1 , BETA VALUE : 0.043 , RECONSTRUCTION LOSS : 31.365 , KL LOSS : 48.648 , TOTAL LOSS : 33.457 , MEAN : 0.075 , STD : 1.129
-> EPOCH :   2 , BETA VALUE : 0.076 , RECONSTRUCTION LOSS : 22.591 , KL LOSS : 44.208 , TOTAL LOSS : 25.951 , MEAN : 0.082 , STD : 1.000
-> EPOCH :   3 , BETA VALUE : 0.109 , RECONSTRUCTION LOSS : 21.849 , KL LOSS : 37.365 , TOTAL LOSS : 25.922 , MEAN : 0.035 , STD : 1.000
-> EPOCH :   4 , BETA VALUE : 0.142 , RECONSTRUCTION LOSS : 21.390 , KL LOSS : 34.907 , TOTAL LOSS : 26.347 , MEAN : 0.022 , STD : 1.000
-> EPOCH :   5 , BETA VALUE : 0.175 , RECONSTRUCTION LOSS : 20.303 , KL LOSS : 31.435 , TOTAL LOSS : 25.804 , MEAN : 0.015 , STD : 1.000
-> EPOCH :   6 , BETA VALUE : 0.208 , RECONSTRUCTION LOSS : 21.344 , KL LOSS : 27.350 , TOTAL LOSS : 27.033 , MEAN : 0.006 , STD : 1.000
-> EPOCH :   7 , BETA VALUE : 0.241 , RECONSTRUCTION LOSS : 21.853 , KL LOSS : 26.264 , TOTAL LOSS : 28.183 , MEAN : 0.007 , STD : 1.000
-> EPOCH :   8 , BETA VALUE : 0.274 , RECONSTRUCTION LOSS : 21.426 , KL LOSS : 22.300 , TOTAL LOSS : 27.537 , MEAN : 0.006 , STD : 1.000
-> EPOCH :   9 , BETA VALUE : 0.307 , RECONSTRUCTION LOSS : 21.130 , KL LOSS : 22.565 , TOTAL LOSS : 28.058 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  10 , BETA VALUE : 0.340 , RECONSTRUCTION LOSS : 21.194 , KL LOSS : 21.029 , TOTAL LOSS : 28.343 , MEAN : 0.003 , STD : 1.000
-> EPOCH :  11 , BETA VALUE : 0.373 , RECONSTRUCTION LOSS : 23.357 , KL LOSS : 20.304 , TOTAL LOSS : 30.930 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  12 , BETA VALUE : 0.406 , RECONSTRUCTION LOSS : 23.125 , KL LOSS : 19.220 , TOTAL LOSS : 30.928 , MEAN : 0.002 , STD : 1.000
-> EPOCH :  13 , BETA VALUE : 0.439 , RECONSTRUCTION LOSS : 23.503 , KL LOSS : 19.073 , TOTAL LOSS : 31.876 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  14 , BETA VALUE : 0.472 , RECONSTRUCTION LOSS : 24.072 , KL LOSS : 16.972 , TOTAL LOSS : 32.083 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  15 , BETA VALUE : 0.505 , RECONSTRUCTION LOSS : 22.998 , KL LOSS : 16.333 , TOTAL LOSS : 31.246 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  16 , BETA VALUE : 0.538 , RECONSTRUCTION LOSS : 21.387 , KL LOSS : 15.602 , TOTAL LOSS : 29.781 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  17 , BETA VALUE : 0.571 , RECONSTRUCTION LOSS : 24.384 , KL LOSS : 14.765 , TOTAL LOSS : 32.815 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  18 , BETA VALUE : 0.604 , RECONSTRUCTION LOSS : 24.531 , KL LOSS : 14.046 , TOTAL LOSS : 33.014 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  19 , BETA VALUE : 0.637 , RECONSTRUCTION LOSS : 23.642 , KL LOSS : 13.874 , TOTAL LOSS : 32.479 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  20 , BETA VALUE : 0.670 , RECONSTRUCTION LOSS : 24.749 , KL LOSS : 13.141 , TOTAL LOSS : 33.553 , MEAN : -0.003 , STD : 1.000
-> EPOCH :  21 , BETA VALUE : 0.703 , RECONSTRUCTION LOSS : 22.717 , KL LOSS : 13.296 , TOTAL LOSS : 32.065 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  22 , BETA VALUE : 0.736 , RECONSTRUCTION LOSS : 26.268 , KL LOSS : 12.645 , TOTAL LOSS : 35.575 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  23 , BETA VALUE : 0.769 , RECONSTRUCTION LOSS : 24.902 , KL LOSS : 12.229 , TOTAL LOSS : 34.306 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  24 , BETA VALUE : 0.802 , RECONSTRUCTION LOSS : 27.179 , KL LOSS : 11.523 , TOTAL LOSS : 36.420 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  25 , BETA VALUE : 0.835 , RECONSTRUCTION LOSS : 26.610 , KL LOSS : 10.844 , TOTAL LOSS : 35.664 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  26 , BETA VALUE : 0.868 , RECONSTRUCTION LOSS : 27.916 , KL LOSS : 11.004 , TOTAL LOSS : 37.468 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  27 , BETA VALUE : 0.901 , RECONSTRUCTION LOSS : 27.990 , KL LOSS : 10.528 , TOTAL LOSS : 37.475 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  28 , BETA VALUE : 0.934 , RECONSTRUCTION LOSS : 28.048 , KL LOSS : 9.789 , TOTAL LOSS : 37.191 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  29 , BETA VALUE : 0.967 , RECONSTRUCTION LOSS : 26.546 , KL LOSS : 9.781 , TOTAL LOSS : 36.004 , MEAN : 0.000 , STD : 1.000
